"customername","policy_id","date","amount","paymentmethod"
"Aaina Bandi",796,"2022-08-03","21611","Debit Card"
"Aaina Barad",292,"2019-12-21","27595","Cash"
"Aaina Barad",292,"2021-10-01","34364","Cash"
"Aaina Chaudhary",79,"2020-07-03","5417","Credit Card"
"Aaina Chaudhary",340,"2020-07-20","2395","Credit Card"
"Aaina Chaudhary",136,"2021-03-09","19683","Debit Card"
"Aaina Chaudhary",79,"2021-08-05","36272","Credit Card"
"Aaina Chaudhary",79,"2022-06-14","33222","Credit Card"
"Aaina Chaudhary",340,"2023-12-13","28037","Debit Card"
"Aaina Chaudhary",136,"2024-09-15","41695","Credit Card"
"Aaina Chaudhary",340,"2024-10-18","8909","Net Banking"
"Aaina Gandhi",192,"2020-07-15","1813","Cash"
"Aaina Gandhi",192,"2020-12-17","31263","UPI"
"Aaina Gandhi",192,"2021-01-24","32746","Credit Card"
"Aaina Gandhi",192,"2022-11-11","32089","Net Banking"
"Aaina Keer",482,"2020-07-28","24504","UPI"
"Aaina Keer",482,"2021-02-01","1319","UPI"
"Aaina Mand",943,"2020-07-15","2363","UPI"
"Aaina Toor",96,"2020-07-27","14841","Debit Card"
"Aaina Toor",96,"2022-10-30","8268","Cash"
"Aaina Yohannan",551,"2020-01-28","13543","Credit Card"
"Aaina Yohannan",551,"2022-02-06","2948","UPI"
"Aaina Yohannan",551,"2024-02-18","32342","Net Banking"
"Aarav Karnik",332,"2021-10-23","28935","Credit Card"
"Aarav Karnik",332,"2022-06-25","11475","Net Banking"
"Aarav Karnik",332,"2023-07-21","46777","Cash"
"Aarav Verma",584,"2024-01-15","39529","Debit Card"
"Aarna Apte",579,"2020-05-28","4788","Debit Card"
"Aarna Apte",579,"2021-01-03","14189","UPI"
"Aarna Bhasin",460,"2021-01-24","1865","UPI"
"Aarna Bhasin",460,"2022-02-14","18020","Net Banking"
"Aarna Bhasin",547,"2023-01-27","9384","Credit Card"
"Aarna Bhasin",460,"2023-02-13","24724","Debit Card"
"Aarna Bhasin",460,"2024-07-28","30850","UPI"
"Aarna Bir",59,"2021-03-02","20525","UPI"
"Aarna Bir",59,"2023-04-29","31270","Cash"
"Aarna Bir",59,"2023-08-04","30963","Net Banking"
"Aarna Bir",704,"2024-08-15","44377","Cash"
"Aarna Bir",704,"2024-10-19","46163","Cash"
"Aarna Cheema",605,"2020-01-25","18104","Debit Card"
"Aarna Cheema",233,"2021-08-05","43584","Debit Card"
"Aarna Cheema",398,"2022-05-22","42838","Debit Card"
"Aarna Cheema",605,"2023-01-02","10733","Cash"
"Aarna Jani",640,"2020-02-14","44763","Net Banking"
"Aarna Jani",640,"2020-06-25","36737","Net Banking"
"Aarna Jani",640,"2021-12-09","31618","Debit Card"
"Aarna Jani",640,"2022-03-25","28541","Debit Card"
"Aarna Mangal",320,"2024-05-06","24054","Credit Card"
"Aarna Varty",480,"2019-12-10","16350","Net Banking"
"Aarna Varty",167,"2019-12-20","7099","UPI"
"Aarna Varty",167,"2020-05-14","14820","Net Banking"
"Aarna Varty",480,"2020-11-03","5641","UPI"
"Aarna Varty",480,"2021-03-17","21642","Cash"
"Aarna Varty",167,"2021-10-29","45744","Net Banking"
"Aarna Varty",480,"2022-10-03","11411","Debit Card"
"Aarna Varty",167,"2023-04-13","9668","UPI"
"Aarush Singhal",787,"2020-12-19","48018","Cash"
"Aaryahi Badal",455,"2020-06-06","33944","Debit Card"
"Aaryahi Badal",455,"2021-08-18","23500","UPI"
"Aaryahi Badal",455,"2024-01-20","2208","UPI"
"Aaryahi Badal",455,"2024-03-24","45840","Debit Card"
"Aaryahi Baral",774,"2020-07-18","40483","UPI"
"Aaryahi Baral",774,"2020-10-14","48005","Credit Card"
"Aaryahi Baral",774,"2021-01-07","1273","Debit Card"
"Aaryahi Baral",683,"2021-08-11","13913","Debit Card"
"Aaryahi Baral",683,"2022-01-07","6200","Debit Card"
"Aaryahi Baral",774,"2024-01-05","38572","Credit Card"
"Aaryahi Sandal",548,"2019-12-20","39309","Debit Card"
"Aaryahi Sandal",151,"2020-03-22","15449","Debit Card"
"Aaryahi Sandal",548,"2021-02-24","32406","Credit Card"
"Aaryahi Sandal",151,"2021-03-21","5476","UPI"
"Aaryahi Sandal",548,"2021-05-24","49021","Debit Card"
"Aaryahi Sandal",151,"2021-12-24","12107","Cash"
"Aaryahi Sandal",151,"2023-08-27","11726","Cash"
"Aayush Aurora",870,"2020-01-17","49214","Cash"
"Aayush Aurora",870,"2021-09-03","2390","Cash"
"Aayush Bansal",433,"2019-12-27","46445","Net Banking"
"Aayush Bansal",433,"2020-12-21","18377","Cash"
"Aayush Bansal",433,"2021-02-04","45077","Net Banking"
"Aayush Bansal",921,"2021-04-10","31718","UPI"
"Aayush Bansal",921,"2021-09-10","43477","Credit Card"
"Aayush Bansal",921,"2021-10-18","34992","Cash"
"Aayush Bansal",433,"2022-09-17","27849","Net Banking"
"Aayush Bansal",433,"2024-02-29","24821","Cash"
"Aayush Butala",969,"2020-04-14","30379","Cash"
"Aayush Butala",969,"2021-08-27","28487","UPI"
"Aayush Butala",969,"2024-01-08","12396","UPI"
"Aayush Butala",969,"2024-04-10","36408","Cash"
"Aayush Vasa",294,"2021-03-17","32598","Credit Card"
"Aayush Yogi",187,"2019-12-28","5432","Debit Card"
"Aayush Yogi",187,"2020-02-28","3353","Debit Card"
"Aayush Yogi",187,"2020-03-23","5065","UPI"
"Aayush Yogi",935,"2021-08-09","35138","Net Banking"
"Aayush Yogi",187,"2021-09-06","16672","Credit Card"
"Aayush Yogi",935,"2023-05-31","4792","Net Banking"
"Aayush Yogi",935,"2023-12-08","19580","Net Banking"
"Abram Bumb",772,"2020-05-27","45967","UPI"
"Abram Bumb",772,"2020-11-27","13862","UPI"
"Abram Bumb",772,"2021-01-27","35974","Credit Card"
"Abram Bumb",772,"2022-09-29","16772","Cash"
"Abram Bumb",456,"2023-01-27","15835","UPI"
"Abram Bumb",456,"2023-04-13","39357","UPI"
"Abram Bumb",456,"2023-05-30","6371","Credit Card"
"Abram Bumb",772,"2024-02-07","12924","Debit Card"
"Abram Bumb",772,"2024-07-07","15749","Net Banking"
"Abram Bumb",510,"2024-07-30","26406","Credit Card"
"Abram Gala",419,"2020-03-15","42372","Debit Card"
"Abram Gala",270,"2021-03-05","21247","Cash"
"Abram Gala",270,"2021-07-31","9172","Cash"
"Abram Gala",270,"2022-02-25","39809","Cash"
"Abram Gala",270,"2023-07-31","11606","Debit Card"
"Abram Gala",270,"2023-11-28","44555","Cash"
"Abram Gala",419,"2024-07-21","43091","Cash"
"Abram Gala",419,"2024-09-30","16378","Credit Card"
"Abram Gala",270,"2024-10-17","42955","UPI"
"Adah Gaba",844,"2020-02-11","3804","UPI"
"Adah Gaba",904,"2020-03-09","31466","Net Banking"
"Adah Gaba",749,"2021-01-03","30039","Credit Card"
"Adah Gaba",471,"2021-01-22","10650","Cash"
"Adah Gaba",749,"2023-01-12","30085","Cash"
"Adah Gaba",844,"2023-10-29","34824","Cash"
"Adah Gaba",844,"2024-04-21","31672","Credit Card"
"Adah Lal",735,"2021-07-03","1472","Credit Card"
"Adah Lal",735,"2022-11-09","16549","UPI"
"Adah Lal",735,"2023-11-16","33301","Credit Card"
"Adah Swaminathan",664,"2021-01-01","28913","Debit Card"
"Adah Swaminathan",664,"2021-02-04","43882","Cash"
"Adah Swaminathan",664,"2021-06-21","19344","Cash"
"Adah Swaminathan",664,"2022-06-02","38770","UPI"
"Adah Swaminathan",664,"2022-12-26","17191","Debit Card"
"Adah Swaminathan",664,"2023-03-21","34627","UPI"
"Adah Swaminathan",664,"2023-04-07","39797","Cash"
"Adira Garg",81,"2020-04-06","8900","Cash"
"Adira Garg",389,"2020-08-18","30059","Cash"
"Adira Garg",81,"2020-10-13","26577","UPI"
"Adira Garg",389,"2021-09-24","49630","Cash"
"Adira Garg",81,"2022-10-03","8197","Debit Card"
"Adira Sengupta",660,"2021-09-15","6720","Credit Card"
"Advik Kibe",13,"2020-02-24","48216","UPI"
"Advik Kibe",9,"2020-04-19","39739","UPI"
"Advik Kibe",135,"2020-06-03","36574","Cash"
"Advik Kibe",135,"2021-08-13","39419","Cash"
"Advik Kibe",135,"2022-05-10","45671","Net Banking"
"Advik Kibe",13,"2022-05-26","33302","UPI"
"Advik Kibe",13,"2022-11-14","40765","Debit Card"
"Advik Kibe",13,"2024-05-17","33468","Debit Card"
"Advik Kibe",13,"2024-06-24","24305","UPI"
"Advik Lall",947,"2020-05-11","27807","Net Banking"
"Advik Lall",947,"2024-05-23","45116","Credit Card"
"Advik Sankar",926,"2019-11-30","48268","UPI"
"Advik Sankar",575,"2022-03-24","4852","Cash"
"Advik Sankar",575,"2022-06-14","38582","Net Banking"
"Advik Sankar",575,"2024-04-26","41487","Cash"
"Advik Sidhu",356,"2020-08-13","40949","Credit Card"
"Advik Sidhu",356,"2022-03-09","20299","Credit Card"
"Advik Sidhu",356,"2022-10-31","31158","Credit Card"
"Advik Sidhu",356,"2022-10-31","11080","Debit Card"
"Advik Sidhu",356,"2024-05-02","49694","Cash"
"Advik Soman",252,"2020-11-13","25230","Debit Card"
"Advik Soman",252,"2022-11-30","32090","Credit Card"
"Ahana  Dube",610,"2021-08-26","5078","Net Banking"
"Ahana  Kulkarni",632,"2020-07-16","5111","Cash"
"Ahana  Kulkarni",632,"2020-09-11","4813","UPI"
"Ahana  Kulkarni",984,"2020-12-30","26427","Debit Card"
"Ahana  Kulkarni",632,"2023-03-14","7110","Credit Card"
"Ahana  Kulkarni",984,"2024-08-10","18919","Debit Card"
"Ahana  Rau",937,"2022-04-24","41605","Credit Card"
"Ahana  Rau",845,"2022-05-31","48882","Cash"
"Ahana  Rau",845,"2023-12-15","27637","Credit Card"
"Ahana  Rau",937,"2023-12-30","30359","Cash"
"Ahana  Rau",937,"2024-01-24","5575","UPI"
"Ahana  Varty",962,"2020-09-08","4987","Cash"
"Ahana  Varty",962,"2020-10-08","44382","Net Banking"
"Akarsh Gade",765,"2020-12-05","46838","Net Banking"
"Akarsh Gade",765,"2021-12-10","45215","Cash"
"Akarsh Gade",765,"2024-02-17","30472","Debit Card"
"Akarsh Iyer",789,"2023-07-22","39221","Cash"
"Akarsh Iyer",789,"2024-09-20","23430","Debit Card"
"Akarsh Kar",255,"2021-08-10","8899","Debit Card"
"Akarsh Kar",255,"2023-05-25","21730","Credit Card"
"Akarsh Lall",410,"2021-01-07","46272","Debit Card"
"Akarsh Lall",218,"2021-11-27","16496","Cash"
"Akarsh Lall",839,"2022-05-23","44656","Net Banking"
"Akarsh Lall",410,"2022-08-07","32839","Debit Card"
"Akarsh Lall",410,"2023-06-25","7297","Debit Card"
"Akarsh Lall",410,"2023-10-14","1356","Cash"
"Akarsh Mangal",621,"2023-03-15","16334","Net Banking"
"Akarsh Mangal",621,"2023-12-26","29653","Debit Card"
"Alia Sankaran",711,"2020-12-02","25216","Cash"
"Alia Sankaran",182,"2021-06-26","34792","Cash"
"Alia Sankaran",711,"2022-07-06","35372","Debit Card"
"Alia Sankaran",182,"2023-07-12","7896","Debit Card"
"Alia Sankaran",711,"2023-09-03","7792","Cash"
"Alia Sankaran",182,"2024-05-03","40868","Net Banking"
"Alisha Chauhan",349,"2020-11-26","27782","Credit Card"
"Alisha Chauhan",671,"2023-03-17","49187","Debit Card"
"Amani Atwal",719,"2021-09-10","26030","Credit Card"
"Amani Bawa",782,"2020-05-05","9950","Credit Card"
"Amani Bawa",782,"2022-09-01","6392","Credit Card"
"Amani Bawa",782,"2023-07-09","36650","Net Banking"
"Amani Bawa",782,"2024-01-20","2966","Debit Card"
"Amani Bhatt",106,"2020-12-27","15264","UPI"
"Amani Bhatt",106,"2023-06-23","11397","Debit Card"
"Amani Bhatt",106,"2023-12-26","19321","UPI"
"Amani Chakrabarti",387,"2022-05-14","6275","Cash"
"Amani Chakrabarti",387,"2022-06-05","20975","UPI"
"Amani Chakrabarti",387,"2022-10-03","48683","UPI"
"Amani Chakrabarti",387,"2024-06-28","35093","Debit Card"
"Amani Ganesh",401,"2021-03-25","34074","Cash"
"Amani Ganesh",401,"2021-06-08","39529","Cash"
"Amani Ganesh",401,"2021-10-06","41300","Debit Card"
"Amani Ganesh",401,"2023-04-22","19000","Net Banking"
"Amira Dani",873,"2020-10-22","43970","Cash"
"Amira Dani",873,"2022-12-24","40488","Net Banking"
